2018-11-21 14:07:13.213 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:07:15.516 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-11-21 14:07:15.537 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2018-11-21 14:09:50.155 INFO  DefaultFactory Logging to 'D:\MyProg\NServicebusTest\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
2018-11-21 14:09:50.275 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '25.09.2018'

2018-11-21 14:09:50.285 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2018-11-21 14:09:52.075 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'EASTWIND\o.solovichenko' to group 'Пользователи системного монитора' because the user is already in group.
2018-11-21 14:09:52.115 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:09:52.127 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:09:52.136 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:09:54.255 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-11-21 14:09:54.276 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2018-11-21 14:11:20.832 INFO  DefaultFactory Logging to 'D:\MyProg\NServicebusTest\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
2018-11-21 14:11:20.942 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '25.09.2018'

2018-11-21 14:11:20.953 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2018-11-21 14:11:22.868 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'EASTWIND\o.solovichenko' to group 'Пользователи системного монитора' because the user is already in group.
2018-11-21 14:11:22.911 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:11:22.924 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:11:22.934 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:11:24.853 INFO  NServiceBus.Unicast.UnicastBus Initiating shutdown.
2018-11-21 14:11:24.872 INFO  NServiceBus.Unicast.UnicastBus Shutdown complete.
2018-11-21 14:45:34.677 INFO  DefaultFactory Logging to 'D:\MyProg\NServicebusTest\TestNservicebus\TestNservicebus\bin\Debug\' with level Info
2018-11-21 14:45:34.794 INFO  NServiceBus.LicenseManager No valid license could be found, falling back to trial license with start date '25.09.2018'

2018-11-21 14:45:34.807 WARN  NServiceBus.LicenseManager Trial for the Particular Service Platform has expired.
2018-11-21 14:45:36.955 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'EASTWIND\o.solovichenko' to group 'Пользователи системного монитора' because the user is already in group.
2018-11-21 14:45:37.007 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2018-11-21 14:45:37.019 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
